fpl_id,api_id
1,19465
2,2273
5,22224
6,22090
7,157052
8,38746
9,61431
10,313245
11,19959
16,1460
17,37127
18,136723
19,127769
20,1946
21,2937
22,47311
24,30407
25,313236
26,47315
30,978
31,9366
266,19586
662,333682
666,18979
700,442044
711,457731
725,127817
32,19599
33,36878
36,19298
37,2724
38,19354
39,138816
40,19179
41,46815
42,265784
44,284457
46,265820
47,19170
48,2926
50,19071
53,249
54,19191
55,2287
58,1904
59,162714
60,550218
62,360268
64,19366
389,19035
456,18
677,137303
688,284390
701,360269
702,453101
703,398004
710,308843
719,889
754,364566
183,328273
186,47521
187,627
190,47903
191,179400
192,375915
193,181797
194,292
195,330238
197,128895
198,19182
199,1746
200,196855
202,22
205,19827
206,37882
207,180560
209,20303
210,161621
211,278079
215,36927
217,98936
218,18927
470,18886
676,270508
680,138822
722,575
66,1864
67,118307
68,151756
72,6610
73,18869
74,162267
77,20093
78,51051
80,363333
81,792
82,19281
84,19245
85,1150
86,18870
87,1125
88,18872
89,2734
90,304853
92,84082
93,31057
96,402432
97,152856
98,47499
100,368030
391,343576
685,22136
687,402434
697,129682
713,330437
721,412719
27,727
83,284797
101,281
105,61742
106,19495
107,106725
108,1119
109,19346
110,342022
111,19789
112,15745
113,36922
114,430827
116,44871
120,178077
121,15908
122,319517
123,153066
124,292
125,25073
126,47438
127,41621
128,15799
133,180308
136,196156
137,19170
138,18960
139,129058
143,22160
144,342063
145,162007
146,18963
148,1361
151,38695
152,537
157,106835
158,90590
160,383685
162,328225
163,305730
164,19030
166,265820
167,356041
169,278370
170,296
172,329369
173,92993
175,359842
177,265784
178,1469
180,343311
181,392482
744,553958
168,311334
220,18959
223,64167
224,47380
225,19545
226,19720
228,161907
229,95
230,22094
231,237129
232,19145
233,366735
235,152982
236,1864
237,5996
238,425733
239,286894
241,116117
243,334037
244,282125
246,305834
247,308678
249,10329
250,161948
251,296560
252,392270
453,284324
672,341642
743,454935
253,19088
254,22157
255,19684
256,13736
257,20995
258,182201
259,26303
260,67971
261,126949
263,18862
267,2218
269,402640
270,18806
271,2601
272,2490
273,288102
276,286458
278,284449
281,301295
283,25927
284,1468
285,1135
690,380703
712,184226
723,412759
732,403554
242,148099
287,2932
288,18860
289,138844
291,2936
292,2165
293,270139
294,18758
295,2934
296,138417
299,18592
300,18929
301,195993
302,2990
303,895
304,284500
305,405360
310,343684
311,125743
312,330412
419,19187
630,82855
667,431921
704,167657
705,284385
707,304317
728,202854
314,1438
316,19549
317,2729
318,152967
319,2920
320,18814
321,131
322,657
323,384981
324,1455
325,1161
326,18753
327,899
328,19032
329,19221
330,1934
331,19025
332,2823
334,19480
335,389315
336,19480
337,2887
338,195106
664,21566
727,1696
731,237819
737,436443
339,20619
341,18885
342,19201
343,64003
344,833
345,1408
346,19287
347,47969
348,19321
350,50739
351,162128
352,19128
353,19329
354,2279
356,129142
357,138776
358,32966
362,250
365,19461
493,18901
660,177665
665,80296
691,18766
698,48389
706,19760
741,444291
366,280
367,24760
368,342467
369,18889
370,152654
371,206254
372,289
373,290
374,1145
375,180317
376,284
379,138780
380,135525
381,306
382,203224
384,247
385,30410
386,6716
387,1096
388,293
390,542
392,8500
396,397997
499,2864
661,174565
686,452685
692,409047
746,389032
182,162489
399,162489
400,25004
402,21138
403,129033
404,5
405,18861
406,360114
407,41621
408,567
409,626
410,284230
411,307123
413,81573
414,631
415,266657
416,636
417,156477
418,1422
420,633
421,44
422,2291
423,161933
424,278133
427,36902
430,1100
736,1622
739,380681
740,382358
742,442048
119,20589
431,50132
432,526
433,19480
434,2931
436,532
437,2467
438,545
439,475598
440,886
441,382452
442,2935
443,891
444,342970
446,328101
447,402329
448,37145
449,1485
450,1165
452,157997
455,19220
457,747
458,284322
459,51494
462,383770
466,70100
681,115589
733,162511
755,557462
52,19192
469,18911
473,284492
474,2806
475,38734
476,18961
477,158694
478,169
479,2855
480,18894
481,318056
485,138787
486,153430
487,18778
488,18911
489,19163
490,723
491,31146
492,18911
494,1463
497,328105
498,19959
500,315237
501,394165
674,20355
684,163189
689,526535
714,158054
753,18737
12,641
426,158697
502,2919
505,2817
506,363695
507,2771
508,138780
510,362711
511,67943
512,126949
513,329357
514,18739
515,18746
516,2298
517,138908
518,141901
519,6056
520,270139
521,22149
522,19305
525,18931
526,9366
527,8598
669,48648
675,18933
693,284428
696,147831
699,47522
715,70366
716,181806
734,129695
528,19881
531,55904
532,119121
534,138908
538,129711
539,19911
541,22225
542,290545
543,301771
544,327631
545,47521
547,20638
549,19910
551,339201
552,365331
553,336659
554,55904
557,330640
560,84087
561,349799
668,1464
670,194536
678,18816
683,6168
694,1146
724,37143
730,38750
735,671
565,31354
567,265826
568,47519
569,30776
570,25287
571,164
573,19235
574,204039
575,152849
578,387521
579,2413
580,129711
582,15911
584,270510
585,863
586,347316
588,336564
589,697
590,20589
591,328089
593,237129
596,18883
597,2413
599,162552
673,41104
717,162016
726,21104
745,467839
750,361735
751,380688
149,7600
600,253
603,409303
605,18744
606,1445
607,21694
608,327730
609,138
610,18846
612,1646
613,1243
614,2938
615,37724
616,2869
618,2476
619,404574
620,291363
621,68466
623,284446
624,19428
625,25391
626,344707
659,171
671,2939
679,15870
708,336585
718,326176
738,2997
747,405530
752,557541
627,19143
628,1590
629,19341
631,135068
632,18742
633,280687
634,195717
635,41606
636,280687
637,41606
638,285
642,24888
643,265784
644,20665
645,391822
646,41606
648,3080
649,31057
650,171035
652,161933
654,2032
656,7722
663,13708
682,265782
695,296560
709,66407
720,110153
749,456206
